Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
27-10-2021 07:00,Jordan,Jordan-Zain-JORFL,22,6,10.00%,100.00%,27.27%,32,319,3.45
27-10-2021 09:00,UAE,UAE-Du-AREDU,23,15,4.35%,100.00%,65.22%,32,126,2.78
27-10-2021 00:00,Spain,Spain-Orange-ESPRT,5,5,,100.00%,100.00%,31,372,3.97
27-10-2021 04:00,UAE,UAE-Etisalat-ARETC,97,26,12.82%,95.88%,26.80%,31,71,3.38
27-10-2021 01:00,Bahrain,Bahrain-Batelco-BHRBT,72,18,,98.61%,25.00%,31,102,4.89
27-10-2021 01:00,Germany,Germany-T-Mobile-DEUD1,7,3,,100.00%,42.86%,30,607,4.54
27-10-2021 10:00,Oman,Oman-Omanmobile-OMNGT,44,14,,95.45%,31.82%,30,129,4.1
27-10-2021 08:00,Qatar,Qatar-Vodafone-QATB1,2,2,,100.00%,100.00%,30,899,3.31
27-10-2021 11:00,Italy,Italy-Wind-ITAWI,39,16,,100.00%,41.03%,30,112,4.66
27-10-2021 08:00,USA/Canada,USA-ATT-Cingular-USACG,17,6,,100.00%,35.29%,30,298,4.9
27-10-2021 04:00,Bahrain,Bahrain-Batelco-BHRBT,35,8,,100.00%,22.86%,30,223,5.25
27-10-2021 12:00,Morocco,Morocco-Orange-MARMT,26,12,8.33%,96.15%,46.15%,30,149,3.14
